S.No.,Device,Contact Count,English,,,Device,Contact Count,Coil Count,English
194,X0C1,4,DRILL CENT OVER-> CNC-8,,,,,,
195,X0C2,4,DRILL T AXIS SUCK OK->CN8,,,,,,
196,X0C3,7,SHTL#4 CARIG-1 CYL UP REED,,,,,,
197,X0C4,11,SHTL#4 CARIG-1 CYL DN REED,,,,,,
198,X0C5,7,SHTL#4 CARIG-1 CYL UP PROXY,,,,,,
199,X0C6,7,SHTL#4 CARIG-1 VACCUM SWITCH,,,,,,
200,X0C7,13,SHTL#4 CARIG-2 CYL UP REED,,,,,,
201,X0C8,14,SHTL#4 CARIG-2 CYL DN REED,,,,,,
202,X0C9,16,SHTL#4 CARIG-2 CYL UP PROXY,,,,,,
203,X0CA,3,SHTL#4 CARIG-2 VACCUM SWITCH,,,,,,
204,X0CB,3,DRILL USE ND MANUAL,,,,,,
205,X0CC,1,DRILL-CENTRG 2ND CYL REW REED,,,,,,
206,X0CD,1,DRILL-CENTRG 1RD CYL REW REED,,,,,,
207,X0CE,1,DRILL-CENTRG CAPICITIVE PROXY,,,,,,
208,X0CF,1,DRILL CLAMPING CYL OPEN REED,,,,,,
209,X0D0,1,DRILL CLAMPING CYL CLOSE REED,,,,,,
210,X0D1,2,DRILL SPINDLE DRIVE FAULT,,,,,,
211,X0D2,2,SPINDLE UP MOTOR MPCB,,,,,,
212,X0D3,2,SPINDLE DN MOTOR MPCB,,,,,,
213,X0D4,2,DRILL MACHINE LOADNG POINT-PROXY,,,,,,
214,X0D5,2,SPINDLE LOCK UNLOCK,,,,,,
215,X0D6,2,SHUTTLE#4 MIDWAY PROXY,,,,,,
216,X0D7,1,DRILLING LUB LEVEL SWITCH,,,,,,
217,X0D8,1,DRILLING C-AXIS VACUUM SWITCH,,,,,,
218,X0D9,7,DRILLING READY-> CNC8,,,,,,
219,X0DA,1,SPARE,,,,,,
220,X0DB,5,GGM VACUUM SWITCH,,,,,,
221,X0DC,1,SPINDLE FAULT,,,,,,
222,X0DD,1,SPARE,,,,,,
223,X0DE,4,SPINDLE FAULT,,,,,,
224,X0DF,1,SPARE,,,,,,
225,X1B0,1,READY,,,,,,
226,X1B1,1,Synchronization flag,,,,,,
227,X0C01,1,,,,,,,
